"loan_amount","annual_income","debt_to_income","term","interest_rate"
3300,35500,16.9,36,11.99
15000,130000,14.4,36,6.07
11500,56000,16.1,36,5.31
16500,150000,33.2,36,6.07
15000,80000,23.7,60,19.42
35000,105000,14.4,60,21.85
4400,72000,21.3,36,14.08
19000,96000,18.7,60,18.06
3125,35300,27.2,36,10.91
20000,73000,24.4,60,9.44
20000,50000,17.2,60,12.62
10000,70000,7.8,60,9.44
14000,65000,26.9,36,11.98
16000,85820,19.4,36,9.92
7000,90000,16.3,36,10.41
24000,45000,42.6,60,9.93
10000,45000,17.5,36,7.97
2500,56000,32.3,36,19.42
25000,58500,18.2,60,18.45
5000,170000,7.2,36,6.72
9000,33428,3.5,36,10.91
5000,9600,20.7,36,17.47
10000,92000,9.4,36,10.41
10000,49000,15.3,36,9.44
6000,35000,9.1,36,12.61
2500,35000,3.7,36,7.96
32000,50000,2.7,36,10.9
28000,98000,16.1,60,21.85
10000,20400,9.8,36,7.96
35000,108000,21.1,60,9.43
25000,65319,22.2,60,15.04
15000,90000,13.7,60,14.07
16000,52000,15.3,36,10.9
20000,109000,13.8,36,6.08
10000,65000,15.9,36,9.93
10000,55000,11.5,36,12.61
15000,58000,18.5,60,10.42
11100,84000,22.6,60,30.17
24000,85000,21.2,60,19.42
1950,33000,20.6,36,9.43
15000,40000,7.2,60,17.47
8000,46800,16.6,36,7.34
8500,48000,15.4,36,7.96
12000,67764,17.6,36,13.58
24000,26000,10.8,60,9.43
11500,45000,27.3,60,21.85
1000,24000,1.2,36,22.91
15000,80000,0.8,36,12.61
13250,52000,12.1,36,9.93
10000,70000,13.8,36,6.72
18000,1e+05,8.6,36,19.42
2400,95000,18.9,36,9.92
21700,78000,20,60,14.07
36525,65000,37.1,36,10.42
5000,85000,17.6,36,7.35
28000,138000,27.5,36,6.71
35000,72900,21,36,12.62
40000,1e+05,38.4,60,21.45
14000,31000,18,60,16.01
20000,95000,6.3,60,16.02
7000,28000,11.4,36,10.9
20000,115000,9.1,36,11.99
10000,80000,15.5,36,12.61
8000,40000,7.2,36,6.71
4000,50000,2.4,36,9.43
30000,70000,34.1,36,13.59
20000,109000,17.7,36,6.08
4000,35000,25.6,36,7.35
14000,47328,10.2,60,10.9
24000,90000,24.2,36,6.07
2800,17000,5.4,36,19.03
12000,62000,27.7,36,10.42
9600,66000,1.4,36,9.44
9600,39000,9.8,36,5.31
3500,76000,11.8,36,7.97
8000,80000,14.4,36,5.32
12000,110000,31.2,36,10.91
32400,89000,39,36,10.91
15000,31800,14.7,60,12.61
8300,60000,17.6,36,13.59
25600,140000,20.6,36,5.32
20000,1e+05,22.6,60,13.58
27900,180000,9.9,60,16.01
4000,80000,14.5,36,7.35
1000,71000,18.6,36,9.92
24000,62000,16.8,60,9.43
40000,156000,13.2,36,7.35
22000,77000,7.8,36,9.43
6400,125000,5.6,36,9.44
12000,1e+05,24.8,36,17.09
30000,85000,24.4,36,18.06
12000,76000,18.1,60,21.85
20000,96000,10.7,36,6.72
24000,139500,21.2,36,9.43
38400,74200,16.2,60,10.42
10000,75000,10.2,60,15.04
30000,70000,2.6,36,18.06
9000,113000,12.9,36,15.04
28000,104000,33.8,36,13.59
5000,14400,3.8,36,15.05
26000,30163,27.7,60,26.77
25000,120000,7.8,36,7.35
25000,79500,18,36,11.98
14000,35000,22.6,36,13.59
6000,51200,9.1,36,11.98
12000,46000,36.4,36,7.35
20000,110000,13.6,36,9.92
10000,62000,30.4,36,14.08
10000,78000,15.3,60,9.93
5000,33800,16.7,36,17.47
10000,105000,16.6,36,9.43
10000,50960,6.9,36,7.97
15000,87000,20,60,9.43
17000,53000,24.3,36,14.08
19475,56000,20,36,7.97
10000,75000,17.2,36,14.07
10000,56000,11.6,36,10.42
16000,60000,20.2,60,25.82
14000,78900,34,60,25.82
11300,118000,19.7,36,7.35
15000,85000,20,60,15.05
10000,40000,15.5,36,7.96
25000,65000,38.3,36,13.58
15000,24000,35.5,60,16.01
19200,75999,34.4,36,7.34
14000,130000,9.5,36,6.08
13000,45000,27.9,36,12.61
28000,45000,25.3,60,16.02
26000,114000,18.6,60,11.99
7000,55000,20,36,6.08
25000,50000,24,60,30.79
20000,37000,30.5,36,16.02
20000,65000,21.9,60,12.61
12000,120000,14.2,36,12.61
8650,56000,6.8,36,14.08
7500,70000,3.8,36,17.09
21000,196000,14.4,36,7.96
12000,150000,4.7,36,10.42
10000,73000,26,36,7.34
25000,66000,26.4,60,9.92
8500,14000,17.7,36,6.72
18000,77000,24.1,36,10.42
18000,52000,16.4,60,6.71
9500,93500,17.2,36,16.01
20000,55000,23.9,36,14.08
10000,90000,8.8,36,10.9
30000,70000,13.5,36,5.31
28000,1e+05,27.7,60,17.47
25000,85000,29.6,36,9.93
30000,195000,13,36,9.43
40000,90000,14.7,60,14.08
8000,31000,25.2,36,7.97
12000,35000,8,36,7.35
12000,81000,18.5,60,15.05
8000,30000,19.8,36,14.07
10000,50000,13.1,36,11.99
6650,1e+05,9.2,36,5.31
10000,70000,6.4,36,5.32
5200,39053,22.9,36,11.99
15525,55000,12.5,60,15.04
6000,60000,9.8,36,6.72
5000,22000,9.9,36,7.97
3500,44190,19,36,5.32
15000,23000,22.7,36,22.91
21625,120000,16.7,60,10.91
11200,67000,33,36,15.05
40000,137000,14.2,36,7.35
10000,30000,3.8,36,11.99
36000,75000,17.7,36,9.93
17000,44500,19.8,60,20
9000,42000,11.7,36,13.59
28000,119000,8.6,60,26.77
15000,63000,35.1,60,16.01
7000,41600,5.2,36,5.31
20000,50000,10.8,60,21.85
1000,19719,3,36,11.99
7000,74500,21.6,36,6.08
5000,50000,34,36,19.03
30000,75000,21.5,36,7.35
6000,67000,22.1,36,7.96
20000,80000,33.4,36,20.39
12000,70000,17.6,36,7.96
5000,35000,18.4,36,5.32
15000,37000,30.6,36,14.08
15000,114000,13.2,36,18.45
5000,20000,34.7,36,6.72
13000,61000,13.1,60,17.09
17975,37000,37.5,36,10.9
28275,41600,27,60,13.58
11000,57057,3.8,60,14.08
25000,70000,25.7,60,6.72
3300,24000,9.2,36,9.43
30000,60000,27.2,60,11.99
7200,70000,9.7,36,11.98
30000,57000,16,60,10.42
25000,150000,7,36,11.98
20000,33000,27.2,60,7.96
4000,68000,11.2,36,9.93
40000,152000,13.4,36,9.43
40000,78000,17.2,36,10.41
13000,50000,15.7,36,7.34
15000,50000,18.2,36,14.07
27000,57000,14.1,60,10.42
13000,63000,20.3,36,7.97
15000,80000,10.9,60,21.45
3000,50000,1.8,36,21.45
21600,114000,19.7,60,26.77
35000,76500,27.5,60,20.39
2500,72000,24.3,36,10.42
4000,112000,12.4,36,17.47
10000,37400,21.5,60,7.34
6400,26000,14.1,36,7.35
6900,25000,9.8,36,17.09
6000,1e+05,38.5,36,13.59
3000,74500,2,36,6.07
12000,70000,11.1,36,9.44
16000,40000,39,36,11.99
30000,79000,29.2,60,25.82
10800,41000,27.4,60,19.03
12000,73000,12.1,36,10.41
6000,25000,7.1,36,12.61
6500,86000,3,36,6.71
6000,33000,5.8,36,10.42
7500,75000,32.9,36,18.06
10000,45000,10.6,36,6.08
27500,114000,11.2,36,7.97
25875,48000,44.4,60,24.85
6000,45000,16.1,36,15.04
40000,90000,10.2,60,21.45
2500,55000,23.4,36,17.09
7000,36000,4.9,36,20
8000,120000,8.2,36,9.44
12000,42000,16.5,60,15.04
15000,79500,16,60,20.39
4000,42000,5.8,36,7.97
6500,35000,21.5,36,11.98
32000,41000,41.5,60,21.45
10000,69000,11.8,36,9.44
15000,69200,5,36,9.43
12000,35000,10.7,60,21.85
15000,68000,17.2,60,10.42
15000,50000,37.7,36,13.59
10000,60000,16.1,36,7.35
8000,35000,10.8,36,6.71
6300,52000,17.8,36,9.44
4500,24000,18.8,36,6.72
30000,85000,26,36,7.97
12000,52000,28.5,60,15.05
16000,175000,14.8,36,6.72
24000,120000,6.8,36,5.32
15000,62000,13.5,36,17.47
15000,45000,16.8,36,15.05
14000,35000,16,36,10.91
35000,43000,19.2,60,21.45
12000,114000,10.8,36,5.32
10000,65000,12.4,36,12.61
5000,30000,3.8,36,10.91
36500,90000,12.5,36,5.32
4800,55000,1.6,36,7.96
20000,90000,23.2,36,6.08
2400,48000,18.6,36,13.58
6000,50000,23.5,36,7.35
20000,71422,15,36,7.97
24000,77000,12.2,36,10.42
15000,42000,14,36,6.71
20000,80000,10.4,36,5.31
11000,45000,8.3,36,12.61
7500,82000,25.8,36,25.82
14800,85600,37.9,36,18.06
20000,78000,12.3,36,9.44
10000,90000,21.3,36,19.03
22000,68000,20.8,36,5.32
10000,60000,0.9,36,11.99
13000,54600,20.4,36,7.96
32000,40000,32.7,36,18.45
20000,70000,26.1,60,9.92
2050,50000,10.8,36,7.96
12000,34000,15.8,36,13.58
12000,55000,28.2,36,7.34
12000,81000,18.5,36,9.43
5400,20000,18.7,36,15.05
6000,55000,5.8,36,11.98
7400,58000,29.4,36,13.59
8000,17000,22.7,36,14.08
12000,110000,21.3,60,14.07
10000,42000,16.6,36,16.01
9500,25000,14.3,36,9.93
15000,118000,14.2,60,12.61
14000,33000,29.7,60,14.08
10000,32248,24.7,60,16.02
35000,87500,17.6,60,19.03
11500,73000,31,60,9.93
21975,95000,16.3,36,7.96
23000,55000,19.4,60,18.06
10000,52000,14.5,36,5.31
40000,78000,13.2,60,11.98
20000,70090,32.8,36,21.85
10000,65000,25,36,7.35
40000,102000,11.4,60,9.93
15000,78000,20.3,36,6.08
8000,94000,17.8,36,16.01
6025,24000,4.4,36,10.9
30000,90000,3.9,36,7.35
20000,2e+05,27.4,60,9.93
35000,120000,16.5,36,6.72
12000,179000,11.1,36,9.92
15000,45240,18.4,60,21.45
13000,80000,10.7,60,21.85
20000,125000,21.3,36,20
1600,43000,25.8,36,10.9
6000,62000,21.9,36,13.58
30000,2e+05,5.4,60,21.85
15000,161105,28.3,36,10.9
3000,138000,6.8,36,10.42
39600,58000,29.5,36,22.91
5000,22212,9.1,36,12.62
18875,63000,33.6,36,14.07
40000,120000,28.6,36,15.05
15000,78000,20.1,60,9.93
6000,44000,29.5,36,16.01
12500,102000,33.1,60,12.62
9500,39333,15.1,36,7.35
13000,140000,17.8,60,15.04
20000,19000,41.4,36,9.44
35000,60000,5.7,36,16.01
7000,22000,11.2,36,10.9
16700,55000,37,36,6.72
15000,1e+05,18.2,36,9.93
40000,170000,13.7,36,11.99
24000,85000,13,36,9.93
4000,71000,24.3,36,10.41
35000,195000,24.8,36,13.59
9525,17200,21,36,15.05
13500,60000,16.3,60,14.08
20000,50000,14,36,19.03
10000,48000,22.1,36,6.08
3500,39000,23,36,11.99
9000,104000,11,36,5.31
15000,85000,34.6,60,12.62
5000,66914,12.9,36,13.59
5000,60000,15.3,36,13.59
2200,45000,34.8,36,11.98
10000,140000,37.2,36,14.08
2000,170000,12.5,36,15.05
6025,53000,9.8,36,12.62
28000,52000,4.6,60,10.9
10000,190000,12.3,60,10.9
38400,132000,9.4,36,6.72
40000,99000,10.1,36,9.92
18000,48222,12.2,60,16.02
10000,89000,2.2,36,9.43
27000,2e+05,19.7,60,11.99
15000,28750,38,60,13.59
24000,128500,20.6,36,6.72
10000,60000,28.5,36,13.58
6250,53000,13.6,36,9.92
25000,150000,14.9,36,10.41
4000,31000,5.3,36,10.91
36000,70000,32.8,60,12.61
12000,75000,10.9,36,10.91
20000,105000,10.2,36,6.07
20000,65000,11.1,36,10.42
16000,88000,17.8,36,9.43
20000,85000,21.6,60,10.91
7200,139000,19.4,36,6.07
22000,113000,23.6,60,9.44
10000,28000,14.7,36,16.02
8500,90000,6.1,36,10.42
15000,86500,25.2,60,9.44
5000,70020,7.9,36,7.34
21000,86000,14.3,36,15.05
20000,53000,8.9,60,16.02
21600,65000,16.1,60,16.02
28000,80000,10.5,60,14.07
35000,90000,18.4,36,10.41
5000,40000,32.3,36,14.08
6000,72000,30.8,36,11.99
25000,90000,12,60,10.42
15000,35000,44.1,60,13.59
8000,50000,32.5,36,6.08
35200,93000,29.9,36,6.71
6000,60000,19.2,36,10.42
6000,28000,19.8,36,7.34
10000,27000,20.7,36,17.47
24000,1e+05,20.4,60,12.62
15000,45000,1.1,60,21.45
2000,14200,36.4,36,7.97
40000,120000,7.2,60,9.93
7500,25875,6.6,36,7.96
10000,70000,28.7,36,6.72
24000,93000,30.8,60,16.01
10000,50000,7.4,36,7.96
9500,65000,21.6,36,10.42
11500,111000,6.2,36,6.08
18000,96000,22.2,36,6.72
10000,30000,25.6,36,5.31
6000,44000,34,36,10.42
30000,55000,36.7,60,25.81
15000,70000,27.2,36,7.35
14000,95000,5.8,60,10.9
9500,72276,16.2,36,5.32
10000,80000,18.2,36,16.02
6000,54800,25,36,9.92
30000,110000,2.7,36,6.71
10000,65000,28,36,14.08
12000,54000,18.2,36,9.44
16000,169880,20.6,36,16.02
24000,52000,11,36,10.42
4000,58000,20.5,36,7.97
8500,107000,20.4,36,16.02
3100,85000,18,36,9.43
20000,185000,12.6,36,11.98
25000,125000,29.2,60,10.9
21000,28000,10.5,36,6.71
8000,87000,13.4,36,6.71
30000,2e+05,17,36,19.03
20400,65000,16.8,60,23.88
2500,90000,8.5,36,10.9
15000,55000,9.8,60,19.03
10000,37000,23.9,36,6.72
16000,50000,13.1,36,9.44
9000,170000,9,36,5.31
24000,87000,23.1,60,14.07
7000,80000,10.8,36,13.58
10000,26000,29.7,36,14.08
5000,45000,9.2,36,9.43
17000,50000,28.8,36,10.91
4000,101000,23,36,16.02
18000,35000,1.2,36,18.06
9000,56000,10.1,36,5.31
18300,59000,16.3,60,11.99
16000,64000,25.7,60,28.72
6000,54000,23.6,36,10.91
24000,35000,1.8,36,12.62
10000,45384,3.4,60,22.91
7500,69000,22.9,36,17.09
12150,55000,11.4,36,7.97
10000,60000,9.4,36,14.08
10000,80000,11.3,36,7.34
29500,65000,20.4,60,7.34
10000,20000,16,36,11.99
12800,57500,12.8,60,11.99
6000,30000,20.7,36,10.91
25000,108000,34.8,60,9.44
6000,50000,6,36,6.72
32000,61800,13.8,60,18.45
10000,83740,23.9,36,16.01
10000,42000,20.2,36,15.04
10000,118000,8.1,60,30.17
8000,72000,5.5,36,7.97
12000,50000,20.5,36,9.44
10000,80000,21.1,60,12.61
23000,80000,17.3,60,16.02
40000,125381,20,60,14.08
22900,65000,6.4,36,10.91
13500,75000,5,60,17.47
30000,60000,34.4,60,17.09
24000,106000,18.4,60,10.42
6000,70000,4,36,10.91
10000,55000,38,36,6.07
11000,1e+05,15.1,60,16.02
16000,42000,19.5,60,22.91
5775,60000,11.2,36,11.99
10000,72000,10.2,60,12.61
16000,85000,7.3,60,19.03
35000,98000,17.8,60,15.04
40000,68000,28,36,6.07
12000,120000,12.6,36,14.08
8000,62000,2.4,36,6.07
14000,62500,21.3,36,10.91
18000,60000,27.1,36,6.72
20000,40000,18.3,60,9.44
35000,90000,28.3,60,25.81
6025,64721,15.4,36,12.61
10000,80000,12.4,60,12.61
6000,18000,34.2,36,7.35
25000,107200,31.5,60,20
24000,65000,12.7,60,24.84
5400,72000,13.9,36,6.08
5000,32000,0.9,36,11.99
22250,134676,14.4,60,9.44
10000,52000,8.4,36,5.32
27000,130000,20.8,60,9.92
4000,66000,21.9,36,21.45
16000,120000,4.3,60,12.61
4000,20000,17.5,36,14.08
9600,80000,16.6,36,10.9
7000,90000,3,36,15.05
8000,95000,8.1,36,11.98
15775,55000,15.1,36,10.91
2000,1e+05,11.5,36,14.07
14000,64000,31.6,60,17.09
16175,71500,21,36,30.75
16000,42000,27.2,60,29.69
7500,69000,18.5,36,11.98
10000,81000,7.8,36,5.32
24000,90000,19.4,60,13.59
16000,80000,24.1,60,15.05
28000,65000,21.1,60,14.08
16000,84000,20.7,60,19.03
26650,92000,26.8,60,13.59
7625,82000,15.6,36,12.61
10000,60000,12.5,36,18.06
9800,40000,14.8,36,14.08
16000,60000,31.5,36,18.06
40000,40000,49,36,6.07
4800,75000,33.5,36,11.99
15000,71000,6.1,60,10.42
3600,28000,7.2,36,6.08
10000,68000,18.2,60,18.06
4000,72000,23.5,36,15.05
8000,50000,14.1,36,6.72
8000,65000,23.7,36,12.62
6000,36000,35.8,36,5.32
3000,56000,3.8,36,7.34
12000,120000,19.4,36,9.93
30000,130000,10.8,60,15.04
35000,72000,10,36,6.07
15000,65000,21.1,60,10.41
40000,110000,5.8,60,5.32
10000,40000,7.6,36,16.01
28000,50840,27.8,60,28.72
5000,115000,18.2,36,7.35
16500,105000,17.3,36,5.31
23000,64000,1,36,6.72
21000,52400,14,60,15.04
12000,96000,19.2,60,21.45
12000,50000,22.6,60,14.07
20000,120000,15.3,36,6.72
7000,24000,5.9,36,11.99
15000,55000,9.8,60,10.9
10400,52000,11.3,36,6.72
8000,24000,23.3,36,9.92
20000,75000,24.9,36,7.97
10000,40012,17.4,36,7.34
3800,65000,3,36,9.92
4375,21432,7.2,36,10.42
14400,63000,28.6,36,16.02
6000,73400,12.1,36,6.08
10000,50000,3.6,36,20.39
8000,75000,6,36,13.59
19200,45000,16.2,60,9.44
3000,83000,16.1,36,10.42
12000,130000,7.9,60,9.92
19200,72465,12.5,60,11.99
13500,48000,17.8,36,6.72
35000,126700,32.4,36,18.06
10000,116480,13.7,36,10.42
4000,12276,26.8,36,14.08
36000,160000,17.6,60,9.43
8000,72000,17.6,36,16.02
10000,45000,18.2,36,6.72
7000,38000,18,36,9.43
10000,75000,20.7,36,7.35
16500,120000,12.6,36,6.08
8000,55000,13.1,36,6.08
16800,67000,17.4,36,10.91
10000,48200,18.7,60,17.09
10000,180000,5.3,60,19.42
25000,52755,35.1,60,11.99
10000,41600,21.4,36,13.58
12000,50000,18.6,36,11.99
10800,46500,17.7,60,13.59
8500,65000,13.9,36,9.44
10000,54000,19.2,36,17.09
10800,35000,27.6,60,11.98
36000,46000,37.4,36,20.39
17950,38000,37.6,60,26.3
20000,75000,11.6,60,13.59
20000,80000,15.1,36,9.93
6000,88000,10.9,36,10.41
7000,36000,3.2,36,12.62
3000,20000,9.9,36,17.09
6000,70000,10.8,36,6.07
28000,119000,26.1,60,24.85
10000,40000,12.6,36,10.91
5000,40000,2.9,36,5.31
40000,140000,7.1,36,6.08
4000,54000,19.2,36,6.07
22000,54500,8.7,36,9.43
8000,64000,11,36,14.07
10000,26000,21.9,36,17.09
25200,60000,20.1,60,11.98
30000,59000,23.6,36,14.07
12000,44000,20.6,60,9.92
10000,40000,14.4,36,5.32
10000,65000,12.5,60,16.02
35000,92000,26.1,60,17.47
25600,80000,16.4,36,9.43
30000,44000,31.4,36,16.02
25000,40250,46.1,36,9.93
29825,98000,18.6,60,9.93
20000,140000,5.3,36,9.93
24000,1e+05,6.2,60,10.9
20000,45000,19.7,36,10.42
7500,96000,25.7,36,11.99
10000,75000,2,60,26.3
10000,67500,9.9,60,9.43
29600,70000,0,36,7.97
6100,35000,11.7,36,11.98
25000,68000,42.7,60,15.04
24000,70000,26.1,36,7.97
10000,36000,10.9,36,14.08
13000,26000,44.5,36,19.03
8000,80000,17.5,36,7.96
18000,150000,9.2,60,9.44
8000,22000,8.2,36,11.99
20000,52000,23.4,60,13.59
9000,50000,17.3,36,7.97
25000,38000,21.7,60,16.02
30000,175000,15.6,60,12.62
7000,175000,2.8,36,5.32
15000,65000,4.1,36,7.97
30000,109000,35.1,36,12.61
15000,30000,5.7,36,11.98
16800,23000,9.7,60,18.45
11200,39000,16,36,10.9
11000,35000,11.6,36,9.92
27000,72000,10.5,36,12.61
30000,80000,20,60,11.99
28000,110000,17.5,60,9.43
17600,90000,12.1,60,10.9
18000,45001,11.5,36,20.39
19000,59182,19.8,36,9.44
28800,63000,16.3,60,9.44
18000,120000,15.4,36,12.61
15000,25000,19.5,36,16.01
10000,132323,0,60,10.9
10000,1e+05,3,36,6.71
10000,67000,18.2,36,9.43
10000,49000,16.8,36,10.41
20000,75000,14.8,36,10.9
11000,90000,11.6,60,16.02
21275,78000,33.5,36,14.08
5000,30000,14.3,36,10.91
18000,40000,23.2,36,7.34
31100,75000,27.6,60,9.92
8000,50000,16.8,36,23.88
5500,106000,18.7,36,10.9
6675,110000,30.8,36,12.62
20000,94000,9.1,36,9.93
5000,40000,20.8,36,6.72
18000,50000,32.2,36,21.45
15000,70000,11,60,13.59
2000,54000,11.1,36,6.72
14000,77100,22.4,60,15.04
6000,36051,17.5,36,7.97
16000,45000,34.8,60,13.59
