Age,Monthly_Income,Years_at_Company,Work_Life_Balance,Job_Satisfaction,Overtime,Average_Hours_Worked_Per_Week,Absenteeism,Attrition
36,9008,23,1,1,0,56,19,0
39,10987,16,4,5,1,58,17,0
44,6332,3,4,3,1,53,8,1
41,3787,26,1,3,1,33,18,0
32,9222,18,2,4,0,32,3,0
38,12873,29,4,3,0,49,0,0
55,6676,23,2,4,0,35,8,1
31,5572,21,2,5,1,56,14,0
38,9915,14,3,3,1,52,7,0
31,8033,15,3,5,1,36,14,0
28,10788,17,1,3,1,43,14,0
26,18689,1,2,3,1,41,17,0
47,14452,25,4,5,0,45,6,0
33,7712,21,3,1,1,49,17,0
50,3066,17,3,1,0,37,15,1
38,18855,23,2,1,0,52,1,1
35,15478,25,3,1,0,31,3,0
24,10533,11,3,3,0,42,19,1
54,18103,17,4,2,0,37,15,0
31,7616,26,2,5,1,54,2,1
44,16277,14,3,2,1,50,1,0
40,8730,29,2,2,1,49,2,0
55,13724,20,3,4,0,45,4,0
42,14772,19,4,1,0,33,1,0
35,19268,21,2,3,0,58,18,0
58,15940,7,3,1,0,45,19,0
58,19932,24,4,1,0,49,1,0
33,17643,13,3,2,0,35,1,0
50,3198,18,2,4,1,56,19,1
24,19955,23,3,1,0,33,17,0
54,12830,14,2,5,0,45,19,1
42,16798,1,2,5,1,52,13,1
48,14469,7,3,1,0,52,14,0
30,3178,8,4,2,1,50,11,0
37,3798,18,1,2,1,42,10,0
31,10601,9,4,3,1,34,10,0
28,5795,1,4,4,0,44,6,0
29,15496,29,3,2,1,55,11,0
36,7588,22,4,3,1,37,15,0
57,10297,17,4,5,0,36,4,0
26,6084,19,1,5,1,43,1,0
32,14110,27,4,5,0,36,15,0
59,3731,6,1,1,0,51,14,0
28,4129,3,3,4,1,36,10,0
46,4605,24,1,3,0,52,5,0
21,14970,5,2,4,0,55,12,0
24,13937,2,2,1,1,59,18,1
48,14362,20,1,3,1,47,9,0
56,5933,25,2,3,1,59,18,0
57,18187,4,3,2,1,39,4,0
38,8074,10,2,4,0,47,6,0
27,17037,10,1,4,1,43,10,0
20,10099,24,3,2,1,39,13,0
41,3893,21,2,5,1,36,15,0
36,4390,11,3,1,0,59,17,0
26,7239,27,1,4,0,55,3,1
44,6432,16,2,2,0,36,0,1
23,5371,26,3,3,0,36,14,0
55,4515,29,3,2,0,34,13,0
25,18906,29,2,5,1,30,18,0
50,9326,17,3,1,0,43,4,1
38,17605,16,3,5,0,47,3,0
58,8586,7,1,3,0,42,12,0
46,5917,16,1,3,1,54,17,0
29,18901,3,1,3,1,37,11,0
45,6793,26,1,3,0,37,14,0
38,12947,16,1,2,1,39,8,0
58,18859,8,1,3,0,46,3,0
22,4577,12,2,3,1,35,4,0
32,12488,3,1,2,1,44,8,0
47,12164,17,3,3,0,44,12,0
39,4030,21,2,5,1,54,9,0
47,18881,18,3,5,0,45,15,1
27,13785,11,1,4,0,37,12,0
58,9691,4,1,5,0,48,3,0
20,9358,16,3,1,1,49,12,0
22,4462,17,3,1,1,44,7,1
32,18511,9,3,1,0,32,12,0
47,13570,6,4,2,0,35,14,1
44,18897,24,4,5,1,59,19,0
52,14646,27,4,1,0,54,19,0
57,18474,20,4,4,1,37,12,0
25,10037,25,2,2,1,45,4,0
51,12499,2,1,4,1,44,5,0
40,16386,9,3,5,0,42,4,0
35,9221,28,1,3,0,55,12,0
40,10769,21,3,4,1,49,4,1
30,17356,29,1,3,0,44,12,0
56,10389,6,2,2,0,47,19,0
55,7922,3,4,4,1,42,7,0
54,16639,20,1,4,1,53,8,0
38,13003,6,3,2,0,37,18,0
39,8178,7,1,2,1,43,19,0
37,18240,1,2,1,0,57,14,0
33,6968,23,2,5,1,40,9,0
34,5716,1,1,4,1,35,10,0
50,19574,5,4,4,0,59,4,1
20,16511,6,3,2,0,53,8,0
22,11181,13,2,2,0,54,10,0
35,15995,2,2,5,0,58,18,0
42,14298,15,1,2,0,30,1,0
30,19762,15,2,3,1,54,5,0
31,9380,13,2,3,1,31,0,0
29,3615,26,3,3,0,59,2,0
51,3463,25,4,3,1,42,2,1
35,12158,14,3,5,0,30,13,0
27,6158,26,4,4,1,53,19,0
57,16434,22,3,3,1,53,4,0
31,7938,7,1,2,0,56,16,0
43,8417,14,2,3,0,33,14,1
47,11881,26,4,5,0,53,5,0
27,8603,24,1,2,1,52,13,0
47,5212,27,2,3,0,58,13,1
55,19766,29,2,4,0,31,16,0
45,14695,10,2,2,0,50,7,0
27,12775,17,3,2,0,59,7,0
47,17559,14,1,4,0,55,18,0
47,9146,8,1,2,0,49,8,0
56,3371,4,2,3,1,45,10,1
55,8565,26,4,2,1,32,12,1
46,11802,16,1,3,1,46,12,0
36,11307,24,3,4,1,34,18,0
28,10437,13,4,1,0,55,18,1
52,3446,22,4,4,0,37,4,0
39,4391,27,4,3,1,41,15,0
32,14516,25,4,5,1,54,8,1
47,18454,27,1,4,1,52,19,1
48,14891,20,2,5,0,41,2,0
32,17998,18,4,5,0,56,18,0
54,8969,14,3,3,0,30,4,1
25,12265,18,3,3,1,30,7,0
37,18861,5,2,1,1,44,13,1
24,8454,26,1,2,1,46,2,0
44,6150,9,2,4,1,31,12,0
21,18386,28,4,3,1,46,10,0
29,9414,3,1,4,0,49,7,0
49,7657,8,1,5,0,55,18,0
24,13486,20,4,2,0,38,9,1
52,17894,22,3,1,0,41,17,1
20,8480,10,4,4,0,33,17,0
37,11033,22,2,2,1,42,6,0
51,3983,19,4,1,0,33,15,0
30,11543,21,3,4,1,36,5,0
40,12916,28,4,2,0,43,15,0
45,13143,3,2,3,1,56,15,0
44,18581,11,2,4,1,38,0,0
41,4907,11,3,2,1,52,18,0
46,12216,17,2,1,1,30,2,0
32,11737,16,2,2,1,30,5,0
52,16757,7,4,3,1,49,3,0
53,7174,4,1,4,0,33,3,0
54,18708,23,2,4,1,30,3,0
20,12297,19,2,4,1,51,9,0
40,4990,12,3,3,0,39,8,0
25,8596,15,3,1,1,31,7,1
47,19374,11,4,4,0,56,18,0
36,6775,5,4,1,0,50,16,1
24,18706,5,2,2,1,53,16,0
50,17645,15,1,1,1,44,0,0
24,16668,29,1,1,0,32,19,0
57,18960,18,4,4,1,54,13,0
22,14357,11,3,5,0,52,19,1
42,7435,26,2,5,1,38,10,0
56,18804,12,2,3,0,46,2,0
56,17626,2,1,3,1,50,7,0
29,10951,20,4,5,1,57,9,1
29,9449,15,1,2,0,42,16,0
38,6199,20,1,4,0,32,7,0
36,9768,4,4,4,0,33,0,0
40,12130,22,3,2,0,33,19,0
33,11633,18,2,2,1,40,6,0
28,7225,6,3,5,0,57,8,0
20,19980,23,4,3,0,36,11,1
32,9054,27,4,2,1,55,8,0
23,4505,26,2,3,1,40,19,0
20,12053,19,3,1,0,53,2,0
59,18749,11,2,4,1,40,3,0
51,13832,28,1,5,0,39,9,1
53,19344,24,1,4,1,34,3,0
47,17783,2,1,5,0,42,8,1
50,4551,27,3,1,1,58,0,0
27,18154,8,1,4,0,41,4,0
58,16799,29,2,1,0,39,8,0
45,9852,11,3,5,1,36,4,0
53,4449,5,2,2,1,48,5,0
22,5659,18,4,4,0,48,18,0
31,10509,23,3,1,0,48,7,0
20,5721,18,2,4,1,41,9,0
24,15444,14,2,4,1,49,10,1
49,12637,22,3,4,1,51,12,1
49,13490,10,4,3,1,44,19,0
36,5925,3,3,1,1,34,3,1
42,12824,9,1,1,1,53,10,0
34,9240,3,1,4,1,59,11,0
56,19896,11,4,2,1,43,4,0
40,3215,12,2,4,1,41,9,0
33,10299,12,2,3,0,58,6,0
21,14523,3,2,5,1,50,8,1
30,13364,21,3,3,1,40,8,0
58,6153,7,3,2,0,57,9,0
57,4706,14,4,4,0,34,9,0
53,13298,24,1,1,0,45,1,0
57,4567,28,2,4,0,59,3,0
53,13400,11,1,2,0,55,7,0
37,13345,7,3,1,0,47,13,0
49,4128,25,3,3,1,41,16,0
34,10867,21,3,5,0,56,12,0
46,8583,10,1,5,0,56,17,0
53,7897,11,4,4,0,34,17,0
57,9001,15,4,3,1,45,12,0
52,14113,19,3,2,0,41,7,1
43,7567,16,2,5,1,52,11,0
34,12271,22,1,3,0,31,0,0
49,17348,21,3,4,0,59,19,0
36,14703,28,1,1,1,58,17,0
24,16329,20,1,4,1,35,2,0
48,5741,12,4,4,0,52,11,1
23,9256,18,3,3,1,50,18,0
29,3228,23,4,5,1,54,12,0
36,19678,13,3,3,0,59,9,0
29,7284,5,1,1,0,33,14,0
36,16264,4,4,3,0,59,19,1
39,16390,28,1,2,1,59,1,0
43,3918,14,3,4,0,42,18,0
24,14445,8,2,5,0,39,2,0
53,3498,9,4,1,1,46,13,0
25,5809,25,4,4,1,43,6,0
21,7961,19,1,3,0,53,7,0
32,12017,3,1,2,1,44,10,0
30,6779,5,2,3,0,37,19,0
42,13050,21,4,4,1,52,5,1
35,5118,26,3,1,0,53,10,0
50,9391,18,3,5,1,47,16,0
30,3145,1,4,4,1,32,9,0
35,16929,8,4,1,1,54,16,0
27,17917,19,4,4,1,46,1,0
23,7565,17,2,2,0,53,5,0
59,19576,17,3,3,1,53,4,0
23,9637,11,3,5,0,36,3,0
44,11243,2,1,1,1,42,1,0
22,5410,6,1,5,1,59,11,0
51,4820,22,4,5,0,56,2,0
22,5521,14,1,5,1,45,5,1
