section,date,time,team1,score1,score2,team2,venue,raw
Group H,Nov 24 2022,19:00,Portugal,3,2,Ghana,"Stadium 974, Doha","19:00 Portugal 3-2 (0-0) Ghana @ Stadium 974, Doha"
Group H,Nov 28 2022,16:00,South Korea,2,3,Ghana,"Education City Stadium, Al Rayyan","16:00 South Korea 2-3 (0-2) Ghana @ Education City Stadium, Al Rayyan"
Group H,Nov 28 2022,22:00,Portugal,2,0,Uruguay,"Lusail Iconic Stadium, Lusail","22:00 Portugal 2-0 (0-0) Uruguay @ Lusail Iconic Stadium, Lusail"
Group H,Dec 2 2022,18:00,Ghana,0,2,Uruguay,"Al Janoub Stadium, Al Wakrah","18:00 Ghana 0-2 Uruguay @ Al Janoub Stadium, Al Wakrah"
Round of 16,Dec 3 2022,18:00,Netherlands,3,1,USA,"Khalifa International Stadium, Al Rayyan","18:00 Netherlands 3-1 (2-0) USA @ Khalifa International Stadium, Al Rayyan"
Round of 16,Dec 3 2022,22:00,Argentina,2,1,Australia,"Ahmad bin Ali Stadium, Al Rayyan","22:00 Argentina 2-1 (1-0) Australia @ Ahmad bin Ali Stadium, Al Rayyan"
Round of 16,Dec 4 2022,18:00,France,3,1,Poland,"Al Thumama Stadium, Doha","18:00 France 3-1 (1-0) Poland @ Al Thumama Stadium, Doha"
Round of 16,Dec 4 2022,22:00,England,3,0,Senegal,"Al Bayt Stadium, Al Khor","22:00 England 3-0 (2-0) Senegal @ Al Bayt Stadium, Al Khor"
Round of 16,Dec 5 2022,18:00,Japan,1,1,Croatia,"Al Janoub Stadium, Al Wakrah","18:00 Japan 1-1 a.e.t (1-1, 1-0), 1-3 pen. Croatia @ Al Janoub Stadium, Al Wakrah"
Round of 16,Dec 5 2022,22:00,Brazil,4,1,South Korea,"Stadium 974, Doha","22:00 Brazil 4-1 (4-0) South Korea @ Stadium 974, Doha"
Round of 16,Dec 6 2022,18:00,Morocco,0,0,Spain,"Education City Stadium, Al Rayyan","18:00 Morocco 0-0 a.e.t. (0-0, 0-0), 3-0 pen. Spain @ Education City Stadium, Al Rayyan"
Round of 16,Dec 6 2022,22:00,Portugal,6,1,Switzerland,"Lusail Iconic Stadium, Lusail","22:00 Portugal 6-1 (2-0) Switzerland @ Lusail Iconic Stadium, Lusail"
Quarter-finals,Dec 9 2022,18:00,Croatia,1,1,Brazil,"Education City Stadium, Al Rayyan","18:00 Croatia 1-1 a.e.t. (0-0, 0-0), 4-2 pen. Brazil @ Education City Stadium, Al Rayyan"
Quarter-finals,Dec 9 2022,22:00,Netherlands,2,2,Argentina,"Lusail Iconic Stadium, Lusail","22:00 Netherlands 2-2 a.e.t. (2-2, 1-0), 3-4 pen. Argentina @ Lusail Iconic Stadium, Lusail"
Quarter-finals,Dec 10 2022,18:00,Morocco,1,0,Portugal,"Al Thumama Stadium, Doha","18:00 Morocco 1-0 (1-0) Portugal @ Al Thumama Stadium, Doha"
Quarter-finals,Dec 10 2022,22:00,England,1,2,France,"Al Bayt Stadium, Al Khor","22:00 England 1-2 (0-1) France @ Al Bayt Stadium, Al Khor"
Semi-finals,Dec 13 2022,22:00,Argentina,3,0,Croatia,"Lusail Iconic Stadium, Lusail","22:00 Argentina 3-0 (2-0) Croatia @ Lusail Iconic Stadium, Lusail"
Semi-finals,Dec 14 2022,22:00,France,2,0,Morocco,"Al Bayt Stadium, Al Khor","22:00 France 2-0 (1-0) Morocco @ Al Bayt Stadium, Al Khor"
Match for third place,Dec 17 2022,18:00,Croatia,2,1,Morocco,"Khalifa International Stadium, Al Rayyan","18:00 Croatia 2-1 (2-1) Morocco @ Khalifa International Stadium, Al Rayyan"
Final,Dec 18 2022,18:00,Argentina,3,3,France,"Lusail Iconic Stadium, Lusail","18:00 Argentina 3-3 a.e.t. (2-2, 2-0), 4-2 pen. France @ Lusail Iconic Stadium, Lusail"
