song,artist,year,decade,primary_genre,date,weeks_at_number_one,non_consecutive,rating_1,rating_2,rating_3,overall_rating,divisiveness,label,parent_label,cdr_genre,discogs_genre,artist_structure,multiple_lead_vocalists,group_named_after_non_lead_singer,posthumous,artist_place_of_origin,front_person_age,artist_male,artist_white,artist_black,songwriters,songwriters_w_o_interpolation_sample_credits,songwriter_male,songwriter_white,artist_is_a_songwriter,artist_is_only_songwriter,producers,producer_male,producer_white,artist_is_a_producer,artist_is_only_producer,songwriter_is_a_producer,time_signature,keys,simplified_key,bpm,energy,danceability,happiness,loudness_d_b,acousticness,vocally_based,bass_based,guitar_based,piano_keyboard_based,orchestral_strings,horns_winds,accordion,banjo,bongos,clarinet,cowbell,falsetto_vocal,flute_piccolo,handclaps_snaps,harmonica,human_whistling,kazoo,mandolin,pedal_lap_steel,ocarina,saxophone,sitar,trumpet,ukulele,violin,song_structure,rap_verse_in_a_non_rap_song,length_sec,instrumental,instrumental_length_sec,intro_length_sec,vocal_introduction,free_time_vocal_introduction,fade_out,live,cover,sample,interpolation,inspired_by_a_different_song,lyrical_topic,lyrical_narrative,spoken_word,explicit,foreign_language,written_for_a_play,written_for_a_film,written_for_a_t_v_show,associated_with_dance,topped_the_charts_by_multiple_artist,eurovision_entry
Venus,Frankie Avalon,1959,1950,Pop,1959-03-09 00:00:00+00:00,5,0,3,2,2,2.333333333333333,0.6666666666666666,Chancellor,ABC,Pop,Pop,1.0,0,0,0,United States,18.0,1,1,0.0,Ed Marshall,Ed Marshall,1.0,1.0,0,0,Peter DeAngelis;Bob Marcucci,1.0,1.0,0.0,0.0,0,4/4,Bb,Bb,115.0,48.0,56.0,75.0,-10.0,73.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D1,0,142,0,23,16,0,0,0,0,0,0,0,0,Longing for Love,0,0,0,0,0,0,0,0,0,0
Come Softly to Me,The Fleetwoods,1959,1950,Pop,1959-04-13 00:00:00+00:00,4,0,8,8,8,8.0,0.0,Dolphin,Dolton,Pop,Pop,0.0,0,0,0,United States,19.0,2,1,0.0,Gretchen Christopher;Gary Troxel;Barbara Ellis,Gretchen Christopher;Gary Troxel;Barbara Ellis,2.0,1.0,1,1,Bob Reisdorff,1.0,1.0,1.0,0.0,0,4/4,Db,Db,123.0,9.0,60.0,67.0,-18.0,93.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A1,0,145,0,0,15,0,0,1,0,0,0,0,0,Longing for Love,0,0,0,0,0,0,0,0,0,0
The Happy Organ,"Dave ""Baby"" Cortez",1959,1950,Rock,1959-05-11 00:00:00+00:00,1,0,4,4,6,4.666666666666667,1.3333333333333333,Clock,Clock,Rock,Rock,1.0,0,1,0,United States,20.0,1,0,1.0,"Dave ""Baby"" Cortez;Ken Wood;James Kreigsmann","Dave ""Baby"" Cortez;Ken Wood;James Kreigsmann",1.0,2.0,1,0,"Dave ""Baby"" Cortez",1.0,0.0,1.0,1.0,1,4/4,Db,Db,91.0,87.0,65.0,97.0,-9.0,47.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I,0,122,1,0,5,0,0,1,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0
Kansas City,Wilbert Harrison,1959,1950,Rock,1959-05-18 00:00:00+00:00,2,0,7,7,6,6.666666666666667,0.6666666666666666,Fury,Fury,Rock,Rock,1.0,0,0,0,United States,30.0,1,0,1.0,Jerry Leiber;Mike Stoller,Jerry Leiber;Mike Stoller,1.0,1.0,0,0,Bobby Robinson,1.0,0.0,0.0,0.0,0,4/4,Db,Db,115.0,67.0,73.0,91.0,-6.0,65.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D1,0,145,0,33,7,0,0,1,0,1,0,0,1,Lust/Sex,0,0,0,0,0,0,0,0,0,0
The Battle of New Orleans,Johnny Horton,1959,1950,Folk/Country,1959-06-01 00:00:00+00:00,6,0,1,1,2,1.3333333333333333,0.6666666666666666,Columbia,CBS,Folk/Country;March,"Pop;Folk, World, & Country",1.0,0,0,0,United States,34.0,1,1,0.0,Jimmy Driftwood,Jimmy Driftwood,1.0,1.0,0,0,Don Law,1.0,1.0,0.0,0.0,0,4/4,A,A,89.0,75.0,70.0,92.0,-12.0,80.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E1,0,151,0,26,8,0,0,1,0,0,0,1,1,War,1,0,0,0,0,0,0,0,0,0
Lonely Boy,Paul Anka,1959,1950,Pop,1959-07-13 00:00:00+00:00,4,0,4,4,4,4.0,0.0,ABC-Paramount,ABC,Pop,Rock,1.0,0,0,0,Canada,17.0,1,1,0.0,Paul Anka,Paul Anka,1.0,1.0,1,1,Don Costa,1.0,1.0,0.0,0.0,0,3/4,C,C,106.0,61.0,62.0,80.0,-10.0,35.0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D1,0,151,0,19,6,0,0,1,0,0,0,0,0,Longing for Love,0,0,0,0,0,0,0,0,0,0
Big Hunk o' Love,Elvis Presley,1959,1950,Rock,1959-08-10 00:00:00+00:00,2,0,5,6,7,6.0,1.3333333333333333,RCA,RCA,Rock,Rock,1.0,0,0,0,United States,24.0,1,1,0.0,Aaron Schroeder;Sid Jaxon,Aaron Schroeder;Sid Jaxon,1.0,2.0,0,0,Steve Sholes,1.0,1.0,0.0,0.0,0,4/4,C,C,87.0,93.0,55.0,96.0,-8.0,82.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A2,0,141,0,40,4,0,0,1,0,0,0,0,0,Lust/Sex,0,0,0,0,0,0,0,0,0,0
The Three Bells (Les Trois Cloches),The Browns,1959,1950,Pop,1959-08-24 00:00:00+00:00,4,0,3,5,8,5.333333333333333,3.333333333333333,RCA,RCA,Pop;Folk/Country,"Pop;Folk, World, & Country",0.0,0,0,0,United States,25.0,2,1,0.0,Jean Villard;Bert Reisfel;Dick Manning,Jean Villard;Bert Reisfel;Dick Manning,1.0,1.0,0,0,Chet Atkins,1.0,1.0,0.0,0.0,0,Free;4/4,G;Ab&%,G,106.0,33.0,46.0,32.0,-10.0,83.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A2,0,174,0,0,19,0,0,0,0,1,0,0,1,Life;Death,1,0,0,0,0,0,0,0,0,0
Sleep Walk,Santo & Johnny,1959,1950,Rock,1959-09-21 00:00:00+00:00,2,0,8,8,7,7.666666666666667,0.6666666666666666,Canadian-American,Canadian-American,Rock,Jazz;Rock;Pop,2.0,0,1,0,United States,19.5,1,1,0.0,Santo Farina;Johnny Farina;Ann Farina,Santo Farina;Johnny Farina;Ann Farina,2.0,1.0,1,0,Unknown,,,,,0,6/8,C,C,92.0,41.0,44.0,35.0,-12.0,89.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,I,0,151,1,151,16,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Mack the Knife,Bobby Darin,1959,1950,Jazz,1959-10-05 00:00:00+00:00,9,1,10,6,9,8.333333333333334,2.6666666666666665,Atco,Atlantic,Jazz,Rock;Pop,1.0,0,0,0,United States,23.0,1,1,0.0,Kurt Weill;Bertolt Brecht;Marc Blitzstein,Kurt Weill;Bertolt Brecht;Marc Blitzstein,1.0,1.0,0,0,Ahmet Ertegün;Herb Abramson,1.0,1.0,0.0,0.0,0,4/4,Bb;B;C;Db;D;Eb&%,Multiple Keys,83.0,53.0,55.0,46.0,-12.0,76.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A1,0,184,0,12,6,0,0,0,0,1,0,0,1,Murder;Death,0,0,0,0,0,0,0,0,0,0
Mr. Blue,The Fleetwoods,1959,1950,Pop,1959-11-16 00:00:00+00:00,1,0,4,6,4,4.666666666666667,1.3333333333333333,Dolton,Dolton,Pop,Pop,0.0,0,0,0,United States,19.0,2,1,0.0,DeWayne Blackwell,DeWayne Blackwell,1.0,1.0,0,0,Bob Reisdorff;Bonnie Guitar,2.0,1.0,0.0,0.0,0,Free;4/4,E,E,97.0,9.0,37.0,21.0,-17.0,93.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D3,0,145,0,0,34,1,1,1,0,0,0,0,0,Lost Love,0,0,0,0,0,0,0,0,0,0
Heartaches by the Number,Guy Mitchell,1959,1950,Pop,1959-12-14 00:00:00+00:00,2,0,3,3,5,3.6666666666666665,1.3333333333333333,Columbia,CBS,Pop,"Folk, World, & Country",1.0,0,0,0,United States,32.0,1,1,0.0,Harlan Howard,Harlan Howard,1.0,1.0,0,0,Mitch Miller,1.0,1.0,0.0,0.0,0,4/4,F,F,172.0,59.0,58.0,84.0,-11.0,46.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,C1,0,155,0,18,13,0,0,0,0,0,0,0,0,Lost Love,0,0,0,0,0,0,0,0,0,0
Why,Frankie Avalon,1959,1950,Pop,1959-12-28 00:00:00+00:00,1,0,2,5,2,3.0,2.0,Chancellor,ABC,Pop,Pop,1.0,1,0,0,United States,19.0,1,1,0.0,Peter De Angelis;Bob Marucci,Peter De Angelis;Bob Marucci,1.0,1.0,0,0,Peter De Angelis;Bob Marucci,1.0,1.0,0.0,0.0,1,4/4,C,C,94.0,35.0,51.0,59.0,-9.0,76.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D1,0,158,0,26,9,0,0,0,0,0,0,0,0,Love,0,0,0,0,0,0,0,0,0,0
El Paso,Marty Robbins,1960,1960,Folk/Country,1960-01-04 00:00:00+00:00,2,0,6,6,9,7.0,2.0,Columbia,CBS,Folk/Country,"Pop;Folk, World, & Country",1.0,0,0,0,United States,34.0,1,1,0.0,Marty Robbins,Marty Robbins,1.0,1.0,1,1,Don Law,1.0,1.0,0.0,0.0,0,3/4,D,D,107.0,45.0,65.0,69.0,-10.0,83.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A1,0,259,0,8,8,0,0,0,0,0,0,0,0,Love;Murder;Death,1,0,0,0,0,0,0,0,0,0
Running Bear,Johnny Preston,1960,1960,Rock,1960-01-18 00:00:00+00:00,3,0,6,6,4,5.333333333333333,1.3333333333333333,Mercury,Mercury,Rock,Rock;Pop,1.0,0,0,0,United States,20.0,1,1,0.0,J.P. Richardson,J.P. Richardson,1.0,1.0,0,0,J.P. Richardson,1.0,1.0,0.0,0.0,1,4/4,Bb,Bb,120.0,30.0,77.0,82.0,-15.0,85.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,C1,0,158,0,0,4,0,0,1,0,0,0,0,0,Love;Death,1,0,0,0,0,0,0,0,0,0
Teen Angel,Mark Dinning,1960,1960,Pop,1960-02-08 00:00:00+00:00,2,0,1,4,9,4.666666666666667,5.333333333333333,MGM,MGM,Pop,Pop,1.0,0,0,0,United States,26.0,1,1,0.0,Jean Surrey;Red Surrey,Jean Surrey;Red Surrey,2.0,1.0,0,0,Jim Vienneau,1.0,1.0,0.0,0.0,0,Free;4/4,C,C,102.0,6.0,57.0,28.0,-19.0,94.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C2,0,157,0,0,10,1,1,0,0,0,0,0,0,Love;Death,1,0,0,0,0,0,0,0,0,0
Theme from A Summer Place,Percy Faith & His Orchestra,1960,1960,Pop,1960-02-22 00:00:00+00:00,9,0,6,7,3,5.333333333333333,2.6666666666666665,Columbia,CBS,Pop,Pop;Stage & Screen,0.0,0,1,0,Canada,51.0,1,1,0.0,Mark Steiner;Mack Discant,Mark Steiner;Mack Discant,1.0,1.0,0,0,Percy Faith,1.0,1.0,1.0,1.0,0,6/8,F;D%,Multiple Keys,93.0,39.0,47.0,75.0,-13.0,63.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I,0,144,1,144,6,0,0,0,0,1,0,0,1,,0,0,0,0,0,1,0,0,0,0
Stuck on You,Elvis Presley,1960,1960,Rock,1960-04-25 00:00:00+00:00,4,0,5,5,6,5.333333333333333,0.6666666666666666,RCA,RCA,Rock,Rock;Pop,1.0,0,0,0,United States,25.0,1,1,0.0,J. Leslie McFarland;Aaron Schroeder,J. Leslie McFarland;Aaron Schroeder,1.0,2.0,0,0,Steve Sholes;Chet Atkins,1.0,1.0,0.0,0.0,0,4/4,G,G,132.0,51.0,65.0,95.0,-12.0,76.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,D1,0,140,0,0,7,0,0,1,0,0,0,0,0,Lust/Sex,0,0,0,0,0,0,0,0,0,0
Cathy's Clown,The Everly Brothers,1960,1960,Rock,1960-05-23 00:00:00+00:00,5,0,9,10,7,8.666666666666666,2.0,Warner Bros.,Warner Bros.,Rock,Rock,0.0,0,0,0,United States,22.0,1,1,0.0,Don Everly;Phil Everly,Don Everly;Phil Everly,1.0,1.0,1,1,Wesley Rose,1.0,1.0,0.0,0.0,0,4/4,G,G,120.0,58.0,50.0,87.0,-9.0,41.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1,0,144,0,7,7,0,0,1,0,0,0,0,0,Bad Relationships;Lost Love,0,0,0,0,0,0,0,0,0,0
Everybody's Somebody's Fool,Connie Francis,1960,1960,Pop,1960-06-27 00:00:00+00:00,2,0,4,4,5,4.333333333333333,0.6666666666666666,MGM,MGM,Pop,"Rock;Pop;Folk, World, & Country",1.0,0,0,0,United States,22.0,0,1,0.0,Jack Keller;Howard Greenfield,Jack Keller;Howard Greenfield,1.0,1.0,0,0,Arnold Maxin;Joe Sherman,1.0,1.0,0.0,0.0,0,4/4,Gb;G;Ab&%,Gb,84.0,59.0,58.0,85.0,-10.0,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,C1,0,160,0,11,11,0,0,0,0,0,0,0,0,Bad Relationships;Lost Love,0,0,0,0,0,0,0,0,0,0
Alley Oop,The Hollywood Argyles,1960,1960,Rock,1960-07-11 00:00:00+00:00,1,0,6,5,8,6.333333333333333,2.0,Lute,Lute,Rock,Rock,0.0,0,0,0,United States,20.5,1,1,0.0,Dallas Frazier,Dallas Frazier,1.0,1.0,0,0,Gary S. Paxton;Kim Fowley,1.0,1.0,1.0,1.0,0,4/4,G,G,65.0,56.0,66.0,89.0,-4.0,77.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A2,0,165,0,0,7,0,0,1,0,0,0,0,0,Bad Behavior,0,0,0,0,0,0,0,0,0,0
I'm Sorry,Brenda Lee,1960,1960,Pop,1960-07-18 00:00:00+00:00,3,0,7,7,6,6.666666666666667,0.6666666666666666,Decca,Decca,Pop;Folk/Country,"Rock;Pop;Folk, World, & Country",1.0,0,0,0,United States,15.0,0,1,0.0,Dub Allbritten;Ronnie Self,Dub Allbritten;Ronnie Self,1.0,1.0,0,0,Owen Bradley,1.0,1.0,0.0,0.0,0,6/8,Bb,Bb,102.0,22.0,56.0,30.0,-12.0,87.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D1,0,144,0,14,14,0,0,0,0,0,0,0,0,Lost Love,0,0,0,0,0,0,0,0,0,0
Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland,1960,1960,Pop,1960-08-08 00:00:00+00:00,1,0,1,1,1,1.0,0.0,Leader,Kapp,Pop,Rock,1.0,1,0,0,United States,17.0,1,1,0.0,Paul Vance;Lee Pockriss,Paul Vance;Lee Pockriss,1.0,1.0,0,0,Richard Wolfe,1.0,1.0,0.0,0.0,0,4/4,D;Eb&%,D,122.0,40.0,80.0,97.0,-13.0,68.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C1,0,144,0,12,4,0,0,0,0,0,0,0,0,Shyness,1,1,0,0,0,0,0,0,0,0
It's Now or Never,Elvis Presley,1960,1960,Pop,1960-08-15 00:00:00+00:00,5,0,8,10,7,8.333333333333334,2.0,RCA,RCA,Pop,Rock,1.0,0,0,0,United States,25.0,1,1,0.0,Wally Gold;Aaron Schroeder;Eduardo di Capua;Giovanni Capurro;Emmanuele Mazzucchi,Wally Gold;Aaron Schroeder;Eduardo di Capua;Giovanni Capurro;Emmanuele Mazzucchi,1.0,1.0,0,0,Steve Sholes;Chet Atkins,1.0,1.0,0.0,0.0,0,Free;4/4,E,E,126.0,49.0,64.0,75.0,-9.0,64.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,C1,0,196,0,8,10,0,0,0,0,1,0,0,1,Love,0,0,0,0,0,0,0,0,0,0
The Twist,Chubby Checker,1960,1960,Rock,1960-09-19 00:00:00+00:00,3,1,5,7,8,6.666666666666667,2.0,Parkway,Cameo-Parkway,Rock,Rock,1.0,0,0,0,United States,18.0,1,0,1.0,Hank Ballard,Hank Ballard,1.0,0.0,0,0,Kal Mann,1.0,1.0,0.0,0.0,0,4/4,E,E,157.0,64.0,53.0,94.0,-7.0,20.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,C1,0,154,0,19,5,0,0,0,0,1,0,0,1,Dancing,0,0,0,0,0,0,0,1,0,0
My Heart Has A Mind Of Its Own,Connie Francis,1960,1960,Folk/Country,1960-09-26 00:00:00+00:00,2,0,4,5,7,5.333333333333333,2.0,MGM,MGM,Folk/Country,Rock,1.0,0,0,0,United States,22.0,0,1,0.0,Jack Keller;Howard Greenfield,Jack Keller;Howard Greenfield,1.0,1.0,0,0,Joe Sherman;Arnold Maxin;Jesse Kaye,1.0,1.0,0.0,0.0,0,4/4,Gb,Gb,109.0,48.0,32.0,66.0,-10.0,71.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,D1,0,152,0,8,8,0,0,0,0,0,0,0,0,Lost Love,0,0,0,0,0,0,0,0,0,0
Mr. Custer,Larry Verne,1960,1960,Folk/Country,1960-10-10 00:00:00+00:00,1,0,3,3,1,2.333333333333333,1.3333333333333333,Era,Era,Folk/Country,"Rock;Pop;Folk, World, & Country",1.0,0,0,0,United States,24.0,1,1,0.0,Al De Lory;Fred Darian;Joseph Van Winkle,Al De Lory;Fred Darian;Joseph Van Winkle,1.0,1.0,0,0,Al De Lory;Fred Darian;Joseph Van Winkle,1.0,1.0,0.0,0.0,1,4/4,Bm,Bm,108.0,23.0,83.0,6.0,-14.0,63.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E1,0,185,0,8,26,0,0,1,0,0,0,0,0,War,0,1,1,0,0,0,0,0,0,0
Save the Last Dance for Me,The Drifters,1960,1960,Pop,1960-10-17 00:00:00+00:00,3,1,9,9,10,9.333333333333334,0.6666666666666666,Atlantic,Atlantic,Pop,Rock,0.0,0,0,0,United States,22.0,1,0,1.0,Doc Pomus;Mort Shuman,Doc Pomus;Mort Shuman,1.0,1.0,0,0,Jerry Leiber;Mike Stoller,1.0,1.0,0.0,0.0,0,4/4,E,E,143.0,53.0,54.0,90.0,-11.0,61.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D1,0,155,0,17,3,0,0,1,0,0,0,0,0,Love,0,0,0,0,0,0,0,0,0,0
