PassengerId,Survived,Pclass,Sex,Age,SiblingsSpouses,ParentsChildren,Fare,Embarked
99,1,3,male,12.0,1,0,11.2417,C
100,1,3,male,24.0,0,0,7.1417,S
101,0,3,male,45.0,0,0,6.975,S
102,0,3,male,33.0,0,0,7.8958,C
103,0,3,male,20.0,0,0,7.05,S
104,0,3,female,47.0,1,0,14.5,S
105,1,2,female,29.0,1,0,26.0,S
106,0,2,male,25.0,0,0,13.0,S
107,0,2,male,23.0,0,0,15.0458,C
108,1,1,female,19.0,0,2,26.2833,S
109,0,1,male,37.0,1,0,53.1,S
110,0,3,male,16.0,0,0,9.2167,S
111,0,1,male,24.0,0,0,79.2,C
112,1,3,female,22.0,0,0,7.75,S
113,1,3,female,24.0,1,0,15.85,S
114,0,3,male,19.0,0,0,6.75,Q
115,0,2,male,18.0,0,0,11.5,S
116,0,2,male,19.0,1,1,36.75,S
117,1,3,male,27.0,0,0,7.7958,S
118,0,3,female,9.0,2,2,34.375,S
119,0,2,male,36.5,0,2,26.0,S
120,0,2,male,42.0,0,0,13.0,S
121,0,2,male,51.0,0,0,12.525,S
122,1,1,female,22.0,1,0,66.6,S
123,0,3,male,55.5,0,0,8.05,S
124,0,3,male,40.5,0,2,14.5,S
125,0,1,male,51.0,0,1,61.3792,C
126,1,3,female,16.0,0,0,7.7333,Q
127,0,3,male,30.0,0,0,8.05,S
128,0,3,male,44.0,0,1,16.1,S
129,1,2,female,40.0,0,0,15.75,S
130,0,3,male,26.0,0,0,7.775,S
131,0,3,male,17.0,0,0,8.6625,S
132,0,3,male,1.0,4,1,39.6875,S
133,1,3,male,9.0,0,2,20.525,S
134,0,3,female,45.0,1,4,27.9,S
135,0,3,male,28.0,0,0,56.4958,S
136,0,1,male,61.0,0,0,33.5,S
137,0,3,male,4.0,4,1,29.125,Q
138,1,3,female,1.0,1,1,11.1333,S
139,0,3,male,21.0,0,0,7.925,S
140,0,1,male,56.0,0,0,30.6958,C
141,0,3,male,18.0,1,1,7.8542,S
142,0,1,female,50.0,0,0,28.7125,C
143,0,2,male,30.0,0,0,13.0,S
144,0,3,male,36.0,0,0,0.0,S
145,0,3,male,9.0,4,2,31.3875,S
146,1,2,male,1.0,2,1,39.0,S
147,1,3,female,4.0,0,2,22.025,S
148,1,1,male,45.0,0,0,26.55,S
149,0,3,male,40.0,1,1,15.5,Q
150,0,3,male,36.0,0,0,7.8958,S
