Language;Tweet;Benefit;Concern;Perception-Fight-climate-change;Perception-Climate-friendly-technology;Perception-Extensive-R&D-needed;Perception-Better-options-than-CCS;Sentiment;Relatedness;Comment
de;"@HEERderLuefte @ChristophHorst3 As I said - a specialist told me that the e-demand in the transport/mobility sectors cannot be covered 'green'.
So a zero balance can only be achieved with offsets such as carbon capture and storage.
But technically I can't rate it myself.";Reducing c. change risks;None;Yes;None;None;None;Positive;;
de;@krusehamburg @Luisamneubauer @CDU @fdp @fdpbt @GretaThunberg @Die_Gruenen Madness is above all your constant populist simplification: Greta Thunberg supports nuclear energy ... not. https://t.co/R1XXVNBgiH And neither CCS nor CCU will be enough on their own, but must also be expanded to reduce CO2 https://t.co/ovkRT5zn7S;Reducing envir. impact;Other;Yes;None;None;None;Positive;;
en;@Greenpeace @GreenpeaceCA No. Youâ€™re wrong and evil. We should not live like primitive weaklings on berries and roots. We need to be strong.  So we need meat not tofu.  The focus should be on technology to capture carbon not on a low energy communist manifesto that will weaken and impoverish everyone.;Preventing c. change;None;Yes;None;None;None;Positive;;
en;@ivan_masse @MikeHudema Carbon capture technology. Itâ€™s the only solution. Go technology!;None;None;None;None;None;None;Positive;;
de;@metaxa1977 @AnnikaJoeres Think it's about solutionism. Carbon Capture, of which it is clear that this will never be enough on a large scale, will be presented as a solution in x years to be able to continue now, for example, as before. Although .. one solution would be to buy a new soil from you, right?;Reducing c. change risks;None;Yes;None;None;Yes;Positive;;
en;@fatimabsyed @thenarwhalca @ottawacarl Carbon Capture and Storage technology has the potential to be a game changer. More research is needed, and I don't see anything wrong with big polluters teaming up to put more research dollars towards a common goal even if getting a 'social license' is part of the reason.;Reducing c. change risks;None;None;None;Yes;None;Positive;;
en;Peanut butter and jelly. Clown fish and anemones. Some things are just better together. By pairing carbon capture with methanol production, our scientists drive the cost of carbon capture down to a new low price: https://t.co/jFy2K3a51i;None;None;None;None;None;None;Positive;;
de;"@Karl_Lauterbach We are a wealthy industrialized country and able to bear the costs of CCUS technologies. Only the political will is missing. It's much more convenient to count on the seemingly endless willingness to make sacrifices of many Germans.
#Not with me
#No thank you";None;None;None;None;None;None;Positive;;
da;@minkonto We can then just use the technological solutions we have, but which the left is against. Carbon capture and nuclear power are the obvious ones. But now onshore and offshore wind are on the list too.;Reducing c. change risks;None;Yes;None;None;None;Positive;;
en;Carbon Dioxide Capture and Storage: A Pathway for Greenhouse Gas Emission Reductions https://t.co/hjopKCLuiS | by @JennerBlockLLP;Reducing envir. impact;None;Yes;None;None;None;Positive;;
en;Despite the narrative that #oilandgas is on the decline, global petroleum demand is expected to reach a record high next year. That's why Canada's leadership in innovations like carbon capture and storage will be critical in meeting climate targets.  https://t.co/kZUhD81ePq;Fossil energy production envir. friendly;None;Yes;None;None;None;Positive;;
it;@AlessaV81 @ricpuglisi frankly the solution can only be a technological revolution (atomic fusion + carbon capture?) the political options make me laugh.;Preventing c. change;None;Yes;None;None;None;Positive;;
en;"Carbon Capture technology maybe the only solution to global warming.
Scientists say that nature alone would not be able to remove enough CO2 out of the air.
Full story via the BBC:
https://t.co/tXrbLEt5ia
#environment #rnd #rndtaxrelief #sussex https://t.co/E5L4uDuNC8";Preventing c. change;None;Yes;None;None;None;Positive;;
en;@exxonmobil Carbon capture is the answer , scientists should be able to defuse carbon to a harmless gas;None;None;None;None;None;None;Positive;;
de;"Minister #Habeck's talks in Norway also dealt with the use and storage of #CO2. Here we explain why #CCUS technologies are an important building block for climate protection ðŸ‘‰ðŸ¼ https://t.co/qzVlawF1fn
 #CCS https://t.co/Ew5OqMd3uS";Preventing c. change;None;None;None;None;None;Positive;;
en;Carbon Capture, Utilisation and Storage (CCUS) technologies are expected to play an important role in supporting clean energy transitions across Asia as an emissions reductions pathway for fossil-fuel intensive power and industry sectors;Reducing envir. impact;None;Yes;None;None;None;Positive;;Fossil energy production envir. friendly
de;@HolzheuStefan If young climate-concerned people want to make an effort, then they should study and develop sensible carbon capture technology. speed limit? Bullshit, while China and India continue to build coal-fired power plants.;Preventing c. change;None;Yes;None;None;None;Positive;;
sv;,@SwebbTV Now it is the case that there is no climate crisis and carbon capture threatens all life on earth. Is he training enough for the Davos meeting only?;Other;None;None;Yes;None;None;Positive;;
de;"â€œA carbon management strategy does not contradict the expansion of #renewables. It complements it and contributes to achieving the target for #CO2 emissions,"" says BVEG Chairman Senger. #CCUS";Reducing envir. impact;None;Yes;None;None;None;Positive;;
en;@respeak_uk @SeemaMalhotra1 @Keir_Starmer @HeathrowAirport Peter Mandleson is scum, but decarbonising aviation isn't greenwashing. It can be done with low carbon synthetic fuels made using nuclear energy, carbon capture, and hydrogen.;Products envir. friendly;None;Yes;None;None;None;Positive;;
en;"@ECOWARRIORSS If you believe that carbon dioxide needs to be reduced, Then go to nuclear power and carbon capture technologies and move on. Stop the idiotic ""green"" means of controlling people.";Reducing envir. impact;None;Yes;None;None;None;Positive;;
it;@Freedonia85 If you do a very simple calculation you realize that the space is largely sufficient to potentially run the whole world on solar, while for energy-intensive consumption it is possible to use hydrogen or biofuels or fossil fuels with ccus;Fossil energy production envir. friendly;None;Yes;None;None;None;Positive;;
no;"""The traditional hydrocarbon companies will play a role in the future. Some will be experts in carbon capture and storage. We need to work with them, not against them,"" says Larry Fink. #CCUS
https://t.co/yXqfkuhEZK";None;None;None;None;None;None;Positive;;
ja;"An interview was held based on the memorandum of cooperation signed between JOGMEC Chairman Hosono and the Prime Minister of Western Australia, McGowan State.
We confirmed that we will contribute to the security of natural resources and energy of both countries and further strengthen the relationship.
#Australia #Western Australia #Australia #Hydrogen #Ammonia #CCS #CCUS #JOGMEC https://t.co/Ie09BUR0y1";Other;None;Yes;None;None;None;Positive;;
de;"@LittleDetritus @starkwatzinger I think carbon capture is necessary and sensible. On the timeline, we won't be able to get rid of the car or the gas heater fast enough. So what speaks against SNG? Turning H2 and O2 into CH4 and H2O is a good transition technology...
Just not for cars. We're further along.";Fossil energy production envir. friendly;None;Yes;None;None;None;Positive;;
en;",""Carbon capture and storage, #CCS, is an umbrella term for a suite of technologies that are essential to lowering CO2 emissions from some of the highest-emitting sectors. Find out here ðŸ‘‡ https://t.co/4ZDxRUnRHk https://t.co/wgbUXpRtvB""";Fossil energy production envir. friendly;None;Yes;None;None;None;Positive;;
en;"Carbon capture and storage: Carbon capture and storage (CCS) is a technology that captures carbon dioxide emissions from power plants and other industrial processes, and stores them in underground reservoirs.This can help to reduce greenhouse gas emissions.
#MrAndMissClimateKenya https://t.co/5UpGvqzbeC";Reducing envir. impact;None;Yes;None;None;None;Positive;;
en;Want a clean energy future? We need to invest in and develop new technologies, says Bill Gates. Next-gen nuclear power and carbon capture and storage are key to complementing solar and wind power. Let's work together to support research and development in clean energy tech!â€¦ https://t.co/FIcIwfQw0U;Preventing c. change;None;Yes;None;None;None;Positive;;
da;@JensBomann @JannickBuhl @klimamonitor @klimaaraadet @KarstenCapion @Tobias_Johan The security of supply must also be counted as a great value, therefore we also believe that CCUS makes good sense for the biomass plants that still have a long life. I didn't think that was stated in the report you refer to?;Fossil energy production envir. friendly;None;Yes;None;None;None;Positive;;
sv;@hansbrattberg Plastic can only be reused a few times. The best thing would be to develop the carbon capture technology and burn plastic in special plants that make district heating and then shoot co2 into the ground.;Products envir. friendly;None;Yes;None;None;None;Positive;;
de;",""@oezgeinan you could easily compensate with carbon capture co2 from the air and the current shortage of carbonic acid. but no, not because then the beer would be too expensive (the idea would then no longer be possible).""";Reducing envir. impact;None;Yes;None;None;None;Positive;;
de;"@RUBOECK @WernerPrutsch99 @klimarecht That would be my fear as well, hence the focus on applications with no real alternative. Also clear that this is not a ""nice"" solution, but unfortunately a necessary one. A few key points here:
https://t.co/xuBAHgdAYT";None;None;None;None;None;None;Positive;;
en;"28/""This LNG export strategy, when combined with accelerated proliferation of CCUS, small modular nuclear reactors and other clean technologies will, by themselves, achieve Canadaâ€™s emissions reduction targets while maintaining growth in the energy industry for decades.""";Reducing envir. impact;None;Yes;None;None;None;Positive;;
it;"#CarbonCapture, the project by @eni and @snam that will transform depleted #gas fields into deposits for the #Carbon Dioxide produced by polluting companies
#Nonsoloambiente #Sustainability #CO2 #AccordiDiParigi
https://t.co/iq6A1SmAvs";Reducing c. change risks;None;Yes;None;None;None;Positive;;
es;Banning new oil and gas exploration in Colombia is absurd. In 2050 the world will consume 90% of the oil that was consumed in 1990 and double the gas. Their CO2 emissions will be offset by capturing them through reforestation and CCUS.;Preventing c. change;None;Yes;None;None;None;Positive;;
en;Carbon Capture, Utilization, and Storage: Game-Changing Technology forÂ Africa https://t.co/BjpZrNbggH;None;None;None;None;None;None;Positive;;
en;"@AshtenRegan Building Carbon Capture means reaching Net Zero and creating thousands of jobs...
You've got my support....";Reducing c. change risks;None;Yes;None;None;None;Positive;;Creating new jobs
en;Carbon capture and storage can help reduce greenhouse gas emissions. Electric and autonomous vehicles are becoming more prevalent. #MrAndMissClimateKenya https://t.co/FgxZUTgru5;Reducing envir. impact;None;Yes;None;None;None;Positive;;
en;@ECOWARRIORSS The chances of staying under 1.5 degrees is practically zero without carbon capture.;Reducing c. change risks;None;Yes;None;None;None;Positive;;
en;"Yes, over the long term, deep decarbonization of industry or transport will need something more. A breakthrough technology (like green hydrogen, or getting carbon capture to actually work).
(Or else a bunch of countries drastically change their stance on nuclear ðŸ˜•)";Reducing envir. impact;None;Yes;None;Yes;None;Positive;;
en;The Federal govt should be very clearâ€¦ fossil fuel companies should only be able to use offsets from CCS to offset their emissions.  They have been claiming for years it is â€œ just round the cornerâ€ to frustrate renewables â€¦ well it it time to deliver! https://t.co/AnWmxVQQ7f;Fossil energy production envir. friendly;None;Yes;None;None;None;Positive;;
en;Carbon capture nets 2 billion tonnes of CO2 each year â€” but itâ€™s not enough https://t.co/2TfrUqapEg;Reducing envir. impact;None;Yes;None;None;None;Positive;;
fr;"Understanding carbon capture and storage - https://t.co/CUUQwIAzGp via @ft_content
Understanding carbon capture and storage
Despite skeptics, CCS should play a vital role in helping global economies achieve net zero carbon emissions. https://t.co/ftR6VPtsYV";Preventing c. change;None;Yes;None;None;None;Positive;;
de;"@fettiz @HenrijsDE Because you can use the realistic data (you call them conservative) to calculate the CO2 avoidance costs of a #speed limit.
And against the background that even a prototype technology like carbon capture and storage would be cheaper, you should shift priorities!";Reducing envir. impact;None;Yes;None;Yes;None;Positive;;
nl;@WattisSustainable Those coal-fired power stations should have been carried out immediately with carbon capture.;Reducing c. change risks;None;Yes;None;None;None;Positive;;
en;"Advances in carbon capture and storage are good news for utilizers like Infinium. We use #CO2 as a feedstock in the creation of ultra-low carbon #eSAF, #eDiesel and #eNaphtha. @GreenBiz
@LeahGarden6
#CO2reduction #CCU #efuels
https://t.co/LkfC8OjF0w";Fossil energy production envir. friendly;None;Yes;None;None;None;Positive;;
en;Carbon capture and storage will likely play an important role in reducing CO2 concentrations;Reducing envir. impact;None;Yes;None;None;None;Positive;;
de;@olligrafix @MMittermeier Relying on innovations does not mean waiting idly. We can expand nuclear power AND renewables, make public transport cleaner and safer (more attractive!), make combustion engines produce fewer emissions. Plus carbon capture. And subsidize development of ITER, synthetic fuels, hydrogen bolder.;None;None;None;None;None;None;Positive;;
en;"Carbon capture is not the silver bullet solution, but it can reduce the worst effects of heavy industries struggling to adapt in time. It makes #NetZero more realistic until long-term solutions are found. 
FIND OUT MORE â¬‡ï¸
https://t.co/v68n5Coz7G
#carboncapture #carbonemissions https://t.co/WKEmjLqLZA";Reducing envir. impact;None;Yes;None;None;None;Positive;;
es;Thank you for allowing us to expose our roadmap towards decarbonization with the goal of zero emissions. #Ccus is undoubtedly part of it. https://t.co/U7b4xDIoo1;Reducing envir. impact;None;Yes;None;None;None;Positive;;
de;,@wenig_worte Carbon Capture + Sequestration are not a cheap cup of tea. This means that renewables are always cheaper. IMHO it won't work without carbon capture. Decarbonization is not possible in 10 years. Not even in 20. So do one (EE expansion) without leaving the other (CC);None;Investment;None;None;None;Yes;Positive;;
de;",""@Michael49703964 @AufstandLastGen Just look at the rather green-tinged Federal Environment Agency! Everyone can inform themselves relatively fairly there before forming their opinion. PS: Climate change can only be stopped via Carbon Capture, Utilization and Storage (CCUS) and nuclear power plants.""";Preventing c. change;None;Yes;None;None;None;Positive;;
en;"""Exceptional results & significant impact"" - we're delighted that, in its final review of our project, the EC had this verdict on our work. Also delighted to have 2 follow-up projects: @pilotSTRATEGY & @CCUSZen - taking our work forward #CCS #CCUS
https://t.co/kQI3lH6vsW https://t.co/hzfzgp8L6o";Other;None;None;None;None;None;Positive;;
en;Representatives of two big unions in the region, including Pittsburgh-based United Steelworkers International, said that carbon capture and storage represent big opportunities for jobs and economic growth in the next decades.  https://t.co/zyaMaCeHgw;Creating new jobs;None;None;None;None;None;Positive;;
en;"@StevenDesanghe1 a mix of renewable energy sources along with other low-carbon technologies like nuclear, hydrogen, and carbon capture and storage (CCS) will be needed to meet the world's energy needs while also reducing emissions.
In conclusion, it is likely that renewable energy will play";Reducing envir. impact;None;Yes;None;None;None;Positive;;
en;"CCS is set to play an important role in the future of #NetZero2050. Here are just a few ways that CCS helps to mitigate climate change.
Learn more here: https://t.co/zidU23T29L
#CCS #CCUS #KC8 #carboncapture #climatechange #netzero https://t.co/Zf5uKyugQa";Preventing c. change;None;Yes;None;None;None;Positive;;
de;",""@ArneEichberg @rahmstorf Research is needed on a large scale to find out which plants absorb the most CO2 per time and area so that this can be done most efficiently. Ultimately, we already have carbon capture technologies, we just have to use them as such ";Reducing envir. impact;None;Yes;None;None;None;Positive;;
en;@Trinhnomics Well said! It is about technology! Carbon Capture Utilization and Storage for fossil fuel emissions reduction. Deep geothermal and Small Modular Reactors for reliable renewable energy. But stay away from my AAA Alberta beef tenderloin!!!;Fossil energy production envir. friendly;None;Yes;None;None;None;Positive;;
da;,Right decision for Denmark...good decision for us at the NordsÃ¸fonden! Chosen to look after the state's interests in Carbon Capture and Storage and thus we become an absolute main player in the green transition. https://t.co/6TgUvumpOG;None;None;None;None;None;None;Positive;;
en;@MikeHudema Nuclear power and carbon capture are the only serious ways we can currently deal with this. Fusion is coming, we just need to buy time.;Preventing c. change;None;Yes;None;None;None;Positive;;
de;",""I don't like anymore. Some do not want to reduce CO2, only carbon capture. The others want to reduce CO2, but not carbon capture.  We need both. Use any existing technology. Encourage every innovation.  You need both. https://t.co/Hgx1JH31fO""";Reducing envir. impact;None;Yes;None;None;None;Positive;;
ja;What is CCS?ã€€CCS (Carbon Capture and Storage) is to separate the large amount of CO2 generated by burning fossil fuels in coal-fired power plants etc. from the exhaust gas and store and isolate it underground or deep in the ocean. This method is an effective means of preventing an increase in CO2 in the air.;Preventing c. change;None;Yes;None;None;None;Positive;;
de;"@Domisday1 @ManuelPhinidis And btw, these awesome new technologies are already saving us. Carbon capture, e-cars, plastic made from mushrooms instead of oil, hydrogen as a renewable resource.
This is the only way to improve climate change, not through bans and waivers, because you can't export that";Reducing envir. impact;None;Yes;None;None;None;Positive;;
pl;@DominikaLasota1 @c40cities @trzaskowski_ @gotowalska @wirtualnapolska How? It is enough to check what applications from associations are submitted to the ENVI Commission. There are many alternatives: Synthetic and bio fuels, Hydrogen, carbon capture technology. You don't have to electrify everything, much less give up consumption and consumer freedom.;Reducing c. change risks;None;Yes;None;None;None;Positive;;
da;"Big day for the Danish #CCUS sector; Bifrost and Greensand are allowed to store CO2 underground on a large scale. Historic day! Later this year, we will receive a tender for onshore CO2 storage licenses and regulation of infrastructure, so #CCUS development continues ðŸ’ªðŸ¼#dkgreen";None;None;None;None;None;None;Positive;;
da;",""How positive it is to see the great focus on CCUS, where the Norwegian Parliament passed two important laws in the area yesterday. Fast and sharp execution by @KlimaMin and the minister. #dkgreen #ccus https://t.co/NJU5EryHd8""";None;None;None;None;None;None;Positive;;
de;,@holger_specht @felixletkemann @VeroWendland Absolutely under discussion. Only the German public debate is protected from it. And CCUS (u=usage) directly at the power plant is expensive but still the cheapest solution (and introducing it would push the balance towards energy saving and climate-neutral generation at the same time};Preventing c. change;None;Yes;None;None;None;Positive;;
en;"Investing in new technologies (e.g. Carbon capture and storage) and production pathways will be important for reducing the environmental impact of ammonia in the long-term.
But the factories where ammonia is produced now still have decades left on their lifespan. 
3/";Reducing envir. impact;None;Yes;None;None;None;Positive;;
en;To remain the nation's leader in energy and innovation, the Lone Star State must encourage carbon capture projects that will increase economic output, save energy jobs, and create new opportunities for Texans. https://t.co/qggXJepZjU;Safeguarding jobs;None;None;None;None;None;Positive;;
de;@KrusekopfD @_Katja_Diehl_ @HalleVerkehrt @BolligGreta @RealTadzioM @MieuletCleo @DocsEnvAus @DoctorVive Millions of carbon capture storage systems were implemented very successfully in LÃ¼tzerath a year ago. To release this carbon sink in the greatest crisis of mankind is ecological, economic and political madness. (No citation, but from now on it can become one ,-);None;None;None;None;None;None;Positive;;
en;Emissions reduction alone will not get us to a #netzero world. Use our Lens data analytics platform to examine emerging technologies such as #hydrogen and #CCUS, and capture growth in a low-carbon future. Learn more: https://t.co/dJhEQYPdeC https://t.co/o2PqlvYG9O;Preventing c. change;None;Yes;None;None;None;Positive;;
en;"Just suck up CO2? We analyse the market opportunities for carbon capture and storage. CCUS technology will make a valuable contribution to achieving climate targets. How to invest? https://t.co/6QGUXhKen4
#co2 #climatechange #decarbonization #innovation #sustainability https://t.co/QnI8RhRbHz";Reducing c. change risks;None;Yes;None;None;None;Positive;;
en;As a pioneer in the energy industry, Texas must invest in carbon capture technology to meet the world's increasing energy needs and enhance our state's economic growth. https://t.co/28BGbtW5jr #carboncapture #energy;Reducing c. change risks;None;None;None;None;None;Positive;;
en;@JigarShahDC Or, install carbon capture technology at existing coal and gas plants to mitigate carbon emissions while nuclear SMRs are being built *at the same facilities* to take over the steam-generation function, at which point the coal burners can be decommissioned.;Reducing envir. impact;None;Yes;None;None;None;Positive;;
ja;@ishiitakaaki The need for decarbonization is a scientific conclusion, and the only decarbonization energies are renewable energy, nuclear power, and CCUS. In other words, increasing renewable energy is inevitable.;Fossil energy production envir. friendly;None;Yes;None;None;None;Positive;;
en;"@ErlijnG Yes, Carbon Engineering 
@CarbonEngineer
 has been doing exactly this for some time now, as Air-to-Fuels #A2F. They react atmospheric CO2 they capture in their Direct Air Capture #DAC equipment with green hydrogen to make  ultra-low carbon jet fuel #SAF https://t.co/AOhsZZKfGx https://t.co/owRWMvosJD";Fossil energy production envir. friendly;None;Yes;None;None;None;Positive;;
de;",""@ KrusekopfD @ ReiSteurer @ Treibhauspost That's what I mean. All technical carbon capture solutions only make sense anyway if we have enough emission-free energy. And with that, apart from such exotic locations as Iceland, they will be out for a while.""";None;None;None;None;None;None;Positive;;
en;"Needs more context, seems like AOCS awnser is a bit of a non answer and more grandstanding 
Again, climate change can be solved easily in 10 years with nuclear and carbon capture but everyone ignores it even though France pulled it off in the 70s / 80s
#climate #NuclearEnergy https://t.co/AIes57aFga";Preventing c. change;None;Yes;None;None;None;Positive;;
de;",""@HampelElise @Perowinger94 @NurderK @CDU 1/2  What technologies do you actually have in mind? Carbon capture? Personally, I can only think of 2 breakthroughs at the moment that could possibly solve our problem. Nuclear fusion and carbon capture, and although the former has seen some recent...""";None;None;Yes;None;None;None;Positive;;
fr;#CCUS Capture of #CO2: an interesting solution that should not overshadow the need to reduce greenhouse gas emissions! â˜ https://t.co/MJcUA1aFwm;None;None;None;None;None;None;Positive;;
id;CCUS is Believed to Help Achieve Zero Emissions in 2060, Realizing Cleaner Oil and Gas Production https://t.co/smepgIboy1;Preventing c. change;None;Yes;None;None;None;Positive;;Fossil energy production envir. friendly
de;,@RobertBoni6 Linnemann actually seems to be talking about 'Direct air capture (DAC)' as an example of climate change innovation. The Greens seem to have understood the need for CCS (Carbon Capture & Storage). See world article. https://t.co/AtiXmZnwGv;Preventing c. change;None;Yes;None;None;None;Positive;;
es;"1. Not enough minerals to transition
2. It is economically more viable to invest in gas than in renewable energy
3. CCUS is the solution to net zero without the need to stop using oil, coal, and gas";Preventing c. change;None;Yes;None;None;None;Positive;;
ja;"DACC (Direct Air Carbon Capture) is an area of â€‹â€‹great interest, which was clearly stated in the 6th report of IPCC, ""It is not an option, and without DACC, the goal will not be achieved.""";Preventing c. change;None;Yes;None;None;None;Positive;;
en;"@13ericralph31 Plus we are transitioning to methalox from kerosene & SRB's.
Also in 20+years time when this Starts to become Possible, our burning of fossil fuels will be drastically reduced, while carbon capture will be significantly contributing.";None;None;None;None;None;None;Positive;;
de;"Every building block helps.
#CCS (Carbon capture and storage) technology together with #Norway.
#Habeck #CO2 https://t.co/I4xDo7TX29";None;None;None;None;None;None;Positive;;
en;Improve insulation standards, use heat pumps, have CCUS for power generation & start to build nuclear power.  Solar has a place in homes & making hydrogen for fertilisers etc.. Hydro & geothermal can also be in the mix.  Balance is the key for energy security #energy #auspol;None;None;None;None;None;None;Positive;;
sv;The switch to renewable energy is not uncomplicated in terms of environmental impact and risky metal supply chains. Long journey. Oil, gas, carbon capture and of course nuclear power will be needed for a long time to come. https://t.co/1YlMgC5NxK;Preventing c. change;None;Yes;None;None;Yes;Positive;;
de;",""â€œWe need more technology openness in Germany. If we let the coal-fired power plants continue to run, we should rely on carbon capture â€“ i.e. separating and storing the emitted CO2.â€ (12) https://t.co/ctoNSxU3c7""";Fossil energy production envir. friendly;None;Yes;None;None;None;Positive;;
en;"EU Needs â€˜Master Planâ€™ to Counter US, China on #CleanEnergy, â¦@IEAâ© Birol Says 
Benefits of US climate law not well appreciated, IEA head says
Birol calls carbon capture critical to counter climate change
- Bloomberg https://t.co/Rs3PTP0IT4";Reducing c. change risks;None;Yes;None;None;None;Positive;;
ja;"Released by Mitsui & Co.
It will produce 1 million tons of clean ammonia per year in the US Gulf of Mexico, and through CCUS, it plans to reduce CO2 emissions by more than 60% compared to conventional ammonia production methods.
CF and Mitsui & Co. agreed to invest 52% and 48%, respectively. https://t.co/4ifJFNeYiP
# Ammonia # CCS https://t.co/NILU0rcnGz";Reducing envir. impact;None;Yes;None;None;None;Positive;;
nl;Collaboration between the University of Antwerp and industry takes the next step in converting CO2 (the U in Carbon Capture and Use). Know-how to be proud of and a great way to close 2022! https://t.co/SXjiSRlkIY;None;None;None;None;None;None;Positive;;
de;",""@HolzheuStefan @NurderK @CDU The original statement isn't that stupid. Yes, we must do everything we can to bring our emissions to zero. Without carbon capture, however, things will get worse for decades. I'm afraid we need both.""";Reducing envir. impact;None;Yes;None;None;None;Positive;;
en;Get funding for fusing trees like Acacia with fast growing trees like eucalyptus or pines that can grow in arid areas but in a short span of time. That's how you cool down the planet, capture carbon and create a good grazing land for our nomadic animal farmers.;Preventing c. change;None;Yes;None;None;None;Positive;;
de;@retolipp Also use of CCS (Carbon Capture and Storage) to bring the emissions into the negative. For this we need a lot of energy, which is obtained from photovoltaics;Reducing envir. impact;None;Yes;None;None;None;Positive;;
de;",""And of course CCS/CCU (carbon capture & storage/utilization) is urgently required, especially for CO2 emissions that are difficult or impossible to avoid. What are you talking about?  Alternatives would be the """"magic innovations"""" from the crystal ball.  https://t.co/4K3zwkghRW""";Reducing envir. impact;None;Yes;None;None;None;Positive;;
nl;Interesting conversation with @ManuelSintubin about life and makeability of the planet #ccus https://t.co/Mwa2o7sjhd;None;None;None;None;None;None;Positive;;
de;",""@TerliWetter Self-dismantling is more the hobby of climate catastrophe announcers. The IPCC expressly mentions product replacement and carbon capture, utilization and storage (CCUS) as a necessary option to meet the 1.5Â°C target!""";None;None;None;None;None;None;Positive;;
de;",""""""Habeck wants underground COâ‚‚ storage in Germany: In 2023 he wants to introduce a corresponding law so that CCS (Carbon Capture and Storage) technology can be used, announced Minister of Economics Habeck.""""  Good news!  https://t.co/K8N7B87PUF""";None;None;Yes;None;None;None;Positive;;
da;@DebattenDR2 @AvaSustain Carbon capture and nuclear power are the only real solutions, so of course they are the only ones the left avoids at all costs.;Reducing c. change risks;None;Yes;None;None;None;Positive;;
